date,city,district,gmv,orders,users,aov,peak_orders,coupon_cost
2026-04-01,Beijing,Chaoyang,100000,1000,820,100.0,310,10000
2026-04-01,Beijing,Haidian,89100,1100,900,81.0,341,8910
2026-04-01,Beijing,Fengtai,66880,760,610,88.0,235,6688
2026-04-01,Shanghai,Pudong,118750,1250,980,95.0,387,11875
2026-04-02,Beijing,Chaoyang,100200,1000,820,100.2,310,10020
2026-04-02,Beijing,Haidian,89401,1101,900,81.2,341,8940
2026-04-02,Beijing,Fengtai,67032,760,610,88.2,235,6703
2026-04-02,Shanghai,Pudong,119095,1251,980,95.2,387,11909
2026-04-03,Beijing,Chaoyang,100601,1002,821,100.4,310,10060
2026-04-03,Beijing,Haidian,89593,1102,901,81.3,341,8959
2026-04-03,Beijing,Fengtai,67272,761,611,88.4,235,6727
2026-04-03,Shanghai,Pudong,119441,1252,981,95.4,388,11944
2026-04-04,Beijing,Chaoyang,100801,1002,822,100.6,310,10080
2026-04-04,Beijing,Haidian,89894,1103,902,81.5,341,8989
2026-04-04,Beijing,Fengtai,67437,762,611,88.5,236,6743
2026-04-04,Shanghai,Pudong,119787,1253,982,95.6,388,11978
2026-04-05,Beijing,Chaoyang,101203,1004,823,100.8,311,10120
2026-04-05,Beijing,Haidian,90086,1104,903,81.6,342,9008
2026-04-05,Beijing,Fengtai,67678,763,612,88.7,236,6767
2026-04-05,Shanghai,Pudong,120229,1255,983,95.8,389,12022
2026-04-06,Beijing,Chaoyang,108500,1085,890,100.0,336,10850
2026-04-06,Beijing,Haidian,96633,1193,976,81.0,369,9663
2026-04-06,Beijing,Fengtai,72512,824,662,88.0,255,7251
2026-04-06,Shanghai,Pudong,128820,1356,1063,95.0,420,12882
2026-04-07,Beijing,Chaoyang,108817,1086,890,100.2,336,10881
2026-04-07,Beijing,Haidian,97034,1195,977,81.2,370,9703
2026-04-07,Beijing,Fengtai,72765,825,662,88.2,255,7276
2026-04-07,Shanghai,Pudong,129282,1358,1064,95.2,420,12928
2026-04-08,Beijing,Chaoyang,101002,1006,825,100.4,311,10100
2026-04-08,Beijing,Haidian,89999,1107,906,81.3,343,8999
2026-04-08,Beijing,Fengtai,67626,765,614,88.4,237,6762
2026-04-08,Shanghai,Pudong,120013,1258,986,95.4,389,12001
2026-04-09,Beijing,Chaoyang,101405,1008,826,100.6,312,10140
2026-04-09,Beijing,Haidian,90302,1108,907,81.5,343,9030
2026-04-09,Beijing,Fengtai,67791,766,614,88.5,237,6779
2026-04-09,Shanghai,Pudong,120456,1260,987,95.6,390,12045
2026-04-10,Beijing,Chaoyang,101606,1008,827,100.8,312,10160
2026-04-10,Beijing,Haidian,90494,1109,908,81.6,343,9049
2026-04-10,Beijing,Fengtai,67944,766,615,88.7,237,6794
2026-04-10,Shanghai,Pudong,120804,1261,988,95.8,390,12080
2026-04-11,Beijing,Chaoyang,101000,1010,828,100.0,313,10100
2026-04-11,Beijing,Haidian,89991,1111,909,81.0,344,8999
2026-04-11,Beijing,Fengtai,67496,767,616,88.0,237,6749
2026-04-11,Shanghai,Pudong,119890,1262,989,95.0,391,11989
2026-04-12,Beijing,Chaoyang,101202,1010,829,100.2,313,10120
2026-04-12,Beijing,Haidian,90294,1112,909,81.2,344,9029
2026-04-12,Beijing,Fengtai,67738,768,616,88.2,238,6773
2026-04-12,Shanghai,Pudong,120238,1263,990,95.2,391,12023
2026-04-13,Beijing,Chaoyang,109637,1092,896,100.4,338,10963
2026-04-13,Beijing,Haidian,97723,1202,983,81.3,372,9772
2026-04-13,Beijing,Fengtai,73372,830,666,88.4,257,7337
2026-04-13,Shanghai,Pudong,130316,1366,1071,95.4,423,13031
2026-04-14,Beijing,Chaoyang,110056,1094,897,100.6,339,11005
2026-04-14,Beijing,Haidian,98044,1203,984,81.5,372,9804
2026-04-14,Beijing,Fengtai,73544,831,667,88.5,257,7354
2026-04-14,Shanghai,Pudong,130685,1367,1072,95.6,423,13068
2026-04-15,Beijing,Chaoyang,102211,1014,831,100.8,314,10221
2026-04-15,Beijing,Haidian,90984,1115,912,81.6,345,9098
2026-04-15,Beijing,Fengtai,68299,770,618,88.7,238,6829
2026-04-15,Shanghai,Pudong,121379,1267,993,95.8,392,12137
2026-04-16,Beijing,Chaoyang,101400,1014,832,100.0,314,10140
2026-04-16,Beijing,Haidian,90396,1116,913,81.0,345,9039
2026-04-16,Beijing,Fengtai,67848,771,619,88.0,239,6784
2026-04-16,Shanghai,Pudong,120460,1268,994,95.0,393,12046
2026-04-17,Beijing,Chaoyang,101803,1016,833,100.2,314,10180
2026-04-17,Beijing,Haidian,90700,1117,914,81.2,346,9070
2026-04-17,Beijing,Fengtai,68090,772,619,88.2,239,6809
2026-04-17,Shanghai,Pudong,120904,1270,995,95.2,393,12090
2026-04-18,Beijing,Chaoyang,102006,1016,833,100.4,314,10200
2026-04-18,Beijing,Haidian,90893,1118,915,81.3,346,9089
2026-04-18,Beijing,Fengtai,68245,772,620,88.4,239,6824
2026-04-18,Shanghai,Pudong,121253,1271,996,95.4,394,12125
2026-04-19,Beijing,Chaoyang,102411,1018,834,100.6,315,10241
2026-04-19,Beijing,Haidian,91198,1119,916,81.5,346,9119
2026-04-19,Beijing,Fengtai,68410,773,620,88.5,239,6841
2026-04-19,Shanghai,Pudong,121603,1272,997,95.6,394,12160
2026-04-20,Beijing,Chaoyang,110880,1100,902,100.8,341,11088
2026-04-20,Beijing,Haidian,98736,1210,990,81.6,375,9873
2026-04-20,Beijing,Fengtai,74153,836,671,88.7,259,7415
2026-04-20,Shanghai,Pudong,131725,1375,1078,95.8,426,13172
2026-04-21,Beijing,Chaoyang,110100,1101,903,100.0,341,11010
2026-04-21,Beijing,Haidian,98091,1211,991,81.0,375,9809
2026-04-21,Beijing,Fengtai,73656,837,671,88.0,259,7365
2026-04-21,Shanghai,Pudong,130815,1377,1079,95.0,426,13081
2026-04-22,Beijing,Chaoyang,102204,1020,837,100.2,316,10220
2026-04-22,Beijing,Haidian,91188,1123,918,81.2,348,9118
2026-04-22,Beijing,Fengtai,68355,775,622,88.2,240,6835
2026-04-22,Shanghai,Pudong,121475,1276,1000,95.2,395,12147
2026-04-23,Beijing,Chaoyang,102609,1022,838,100.4,316,10260
2026-04-23,Beijing,Haidian,91381,1124,919,81.3,348,9138
2026-04-23,Beijing,Fengtai,68598,776,623,88.4,240,6859
2026-04-23,Shanghai,Pudong,121826,1277,1001,95.4,395,12182
2026-04-24,Beijing,Chaoyang,102813,1022,838,100.6,316,10281
2026-04-24,Beijing,Haidian,91688,1125,920,81.5,348,9168
2026-04-24,Beijing,Fengtai,68764,777,624,88.5,240,6876
2026-04-24,Shanghai,Pudong,122177,1278,1002,95.6,396,12217
2026-04-25,Beijing,Chaoyang,103219,1024,839,100.8,317,10321
2026-04-25,Beijing,Haidian,91882,1126,921,81.6,349,9188
2026-04-25,Beijing,Fengtai,69009,778,624,88.7,241,6900
2026-04-25,Shanghai,Pudong,122624,1280,1003,95.8,396,12262
2026-04-26,Beijing,Chaoyang,102500,1025,840,100.0,317,10250
2026-04-26,Beijing,Haidian,91287,1127,922,81.0,349,9128
2026-04-26,Beijing,Fengtai,68464,778,625,88.0,241,6846
2026-04-26,Shanghai,Pudong,121695,1281,1004,95.0,397,12169
2026-04-27,Beijing,Chaoyang,111022,1108,908,100.2,343,11102
2026-04-27,Beijing,Haidian,98902,1218,997,81.2,377,9890
2026-04-27,Beijing,Fengtai,74264,842,675,88.2,261,7426
2026-04-27,Shanghai,Pudong,131852,1385,1085,95.2,429,13185
2026-04-28,Beijing,Chaoyang,111344,1109,909,100.4,343,11134
2026-04-28,Beijing,Haidian,99186,1220,998,81.3,378,9918
2026-04-28,Beijing,Fengtai,74433,842,676,88.4,261,7443
2026-04-28,Shanghai,Pudong,132224,1386,1086,95.4,429,13222
2026-04-29,Beijing,Chaoyang,103417,1028,842,100.6,318,10341
2026-04-29,Beijing,Haidian,92095,1130,925,81.5,350,9209
2026-04-29,Beijing,Fengtai,69118,781,627,88.5,242,6911
2026-04-29,Shanghai,Pudong,122846,1285,1007,95.6,398,12284
2026-04-30,Beijing,Chaoyang,103723,1029,843,100.8,318,10372
2026-04-30,Beijing,Haidian,92290,1131,926,81.6,350,9229
2026-04-30,Beijing,Fengtai,69363,782,627,88.7,242,6936
2026-04-30,Shanghai,Pudong,123199,1286,1008,95.8,398,12319
2026-05-01,Beijing,Chaoyang,103000,1030,844,100.0,319,10300
2026-05-01,Beijing,Haidian,91773,1133,927,81.0,351,9177
2026-05-01,Beijing,Fengtai,68816,782,628,88.0,242,6881
2026-05-01,Shanghai,Pudong,122265,1287,1009,95.0,398,12226
2026-05-02,Beijing,Chaoyang,103306,1031,845,100.2,319,10330
2026-05-02,Beijing,Haidian,92081,1134,927,81.2,351,9208
2026-05-02,Beijing,Fengtai,69061,783,628,88.2,242,6906
2026-05-02,Shanghai,Pudong,122618,1288,1010,95.2,399,12261
2026-05-03,Beijing,Chaoyang,103613,1032,846,100.4,319,10361
2026-05-03,Beijing,Haidian,92276,1135,928,81.3,351,9227
2026-05-03,Beijing,Fengtai,69306,784,629,88.4,243,6930
2026-05-03,Shanghai,Pudong,123066,1290,1011,95.4,399,12306
2026-05-04,Beijing,Chaoyang,112169,1115,914,100.6,345,11216
2026-05-04,Beijing,Haidian,100000,1227,1004,81.5,380,10000
2026-05-04,Beijing,Fengtai,74960,847,680,88.5,262,7496
2026-05-04,Shanghai,Pudong,133266,1394,1093,95.6,432,13326
2026-05-05,Beijing,Chaoyang,112493,1116,915,100.8,345,11249
2026-05-05,Beijing,Haidian,100205,1228,1005,81.6,380,10020
2026-05-05,Beijing,Fengtai,75218,848,681,88.7,262,7521
2026-05-05,Shanghai,Pudong,133641,1395,1094,95.8,432,13364
2026-05-06,Beijing,Chaoyang,103500,1035,848,100.0,320,10350
2026-05-06,Beijing,Haidian,92178,1138,931,81.0,352,9217
2026-05-06,Beijing,Fengtai,69168,786,631,88.0,243,6916
2026-05-06,Shanghai,Pudong,122835,1293,1014,95.0,400,12283
2026-05-07,Beijing,Chaoyang,103807,1036,849,100.2,321,10380
2026-05-07,Beijing,Haidian,92487,1139,932,81.2,353,9248
2026-05-07,Beijing,Fengtai,69413,787,631,88.2,243,6941
2026-05-07,Shanghai,Pudong,123284,1295,1015,95.2,401,12328
2026-05-08,Beijing,Chaoyang,104115,1037,850,100.4,321,10411
2026-05-08,Beijing,Haidian,92682,1140,933,81.3,353,9268
2026-05-08,Beijing,Fengtai,69659,788,632,88.4,244,6965
2026-05-08,Shanghai,Pudong,123638,1296,1016,95.4,401,12363
2026-05-09,Beijing,Chaoyang,104423,1038,851,100.6,321,10442
2026-05-09,Beijing,Haidian,92992,1141,934,81.5,353,9299
2026-05-09,Beijing,Fengtai,69738,788,633,88.5,244,6973
2026-05-09,Shanghai,Pudong,123993,1297,1017,95.6,402,12399
2026-05-10,Beijing,Chaoyang,104731,1039,851,100.8,322,10473
2026-05-10,Beijing,Haidian,93187,1142,935,81.6,354,9318
2026-05-10,Beijing,Fengtai,69984,789,633,88.7,244,6998
2026-05-10,Shanghai,Pudong,124348,1298,1018,95.8,402,12434
2026-05-11,Beijing,Chaoyang,112300,1123,921,100.0,348,11230
2026-05-11,Beijing,Haidian,100035,1235,1010,81.0,382,10003
2026-05-11,Beijing,Fengtai,75064,853,685,88.0,264,7506
2026-05-11,Shanghai,Pudong,133380,1404,1100,95.0,435,13338
2026-05-12,Beijing,Chaoyang,112625,1124,921,100.2,348,11262
2026-05-12,Beijing,Haidian,100363,1236,1011,81.2,383,10036
2026-05-12,Beijing,Fengtai,75323,854,685,88.2,264,7532
2026-05-12,Shanghai,Pudong,133756,1405,1101,95.2,435,13375
2026-05-13,Beijing,Chaoyang,104617,1042,854,100.4,323,10461
2026-05-13,Beijing,Haidian,93170,1146,937,81.3,355,9317
2026-05-13,Beijing,Fengtai,69924,791,635,88.4,245,6992
2026-05-13,Shanghai,Pudong,124211,1302,1021,95.4,403,12421
2026-05-14,Beijing,Chaoyang,104926,1043,855,100.6,323,10492
2026-05-14,Beijing,Haidian,93480,1147,938,81.5,355,9348
2026-05-14,Beijing,Fengtai,70092,792,636,88.5,245,7009
2026-05-14,Shanghai,Pudong,124567,1303,1022,95.6,403,12456
2026-05-15,Beijing,Chaoyang,105235,1044,856,100.8,323,10523
2026-05-15,Beijing,Haidian,93677,1148,939,81.6,355,9367
2026-05-15,Beijing,Fengtai,70339,793,636,88.7,245,7033
2026-05-15,Shanghai,Pudong,125019,1305,1023,95.8,404,12501
2026-05-16,Beijing,Chaoyang,104500,1045,856,100.0,323,10450
2026-05-16,Beijing,Haidian,93069,1149,940,81.0,356,9306
2026-05-16,Beijing,Fengtai,69872,794,637,88.0,246,6987
2026-05-16,Shanghai,Pudong,124070,1306,1024,95.0,404,12407
2026-05-17,Beijing,Chaoyang,104809,1046,857,100.2,324,10480
2026-05-17,Beijing,Haidian,93380,1150,941,81.2,356,9338
2026-05-17,Beijing,Fengtai,70031,794,638,88.2,246,7003
2026-05-17,Shanghai,Pudong,124426,1307,1025,95.2,405,12442
2026-05-18,Beijing,Chaoyang,113452,1130,927,100.4,350,11345
2026-05-18,Beijing,Haidian,101056,1243,1017,81.3,385,10105
2026-05-18,Beijing,Fengtai,75936,859,689,88.4,266,7593
2026-05-18,Shanghai,Pudong,134800,1413,1108,95.4,438,13480
2026-05-19,Beijing,Chaoyang,113779,1131,928,100.6,350,11377
2026-05-19,Beijing,Haidian,101468,1245,1018,81.5,385,10146
2026-05-19,Beijing,Fengtai,76110,860,690,88.5,266,7611
2026-05-19,Shanghai,Pudong,135178,1414,1109,95.6,438,13517
2026-05-20,Beijing,Chaoyang,95155,944,860,100.8,292,9515
2026-05-20,Beijing,Haidian,98818,1211,944,81.6,375,9881
2026-05-20,Beijing,Fengtai,70694,797,639,88.7,247,7069
2026-05-20,Shanghai,Pudong,129330,1350,1028,95.8,418,12933
2026-05-21,Beijing,Chaoyang,94500,945,861,100.0,292,9450
2026-05-21,Beijing,Haidian,98172,1212,945,81.0,375,9817
2026-05-21,Beijing,Fengtai,70224,798,640,88.0,247,7022
2026-05-21,Shanghai,Pudong,128345,1351,1029,95.0,418,12834
2026-05-22,Beijing,Chaoyang,94689,945,861,100.2,292,9468
2026-05-22,Beijing,Haidian,98496,1213,945,81.2,376,9849
2026-05-22,Beijing,Fengtai,70384,798,641,88.2,247,7038
2026-05-22,Shanghai,Pudong,128806,1353,1029,95.2,419,12880
2026-05-23,Beijing,Chaoyang,94978,946,862,100.4,293,9497
2026-05-23,Beijing,Haidian,98780,1215,946,81.3,376,9878
2026-05-23,Beijing,Fengtai,70632,799,641,88.4,247,7063
2026-05-23,Shanghai,Pudong,129172,1354,1030,95.4,419,12917
2026-05-24,Beijing,Chaoyang,95268,947,863,100.6,293,9526
2026-05-24,Beijing,Haidian,99104,1216,947,81.5,376,9910
2026-05-24,Beijing,Fengtai,70800,800,642,88.5,248,7080
2026-05-24,Shanghai,Pudong,129538,1355,1031,95.6,420,12953
2026-05-25,Beijing,Chaoyang,103219,1024,933,100.8,317,10321
2026-05-25,Beijing,Haidian,107222,1314,1024,81.6,407,10722
2026-05-25,Beijing,Fengtai,76726,865,694,88.7,268,7672
2026-05-25,Shanghai,Pudong,140347,1465,1115,95.8,454,14034
2026-05-26,Beijing,Chaoyang,102500,1025,934,100.0,317,10250
2026-05-26,Beijing,Haidian,106596,1316,1025,81.0,407,10659
2026-05-26,Beijing,Fengtai,76120,865,695,88.0,268,7612
2026-05-26,Shanghai,Pudong,139270,1466,1116,95.0,454,13927
